Unnamed: 0,Title,Price,Area,Category,Size,Bedrooms,Bathrooms,Price_Category,Price_per_sqft
68,"Suria Jelatek Residence, Jalan Jelatek, Kuala Lumpur",530000,AMPANG,Apartments,1089,3,2,Low,486.6850321395776
69,"[GROUND FLOOR] Desa Pandan ,Baiduri, Maluri, Ampang, [MURAH MURAH]",282000,AMPANG,Apartments,716,3,2,Low,393.85474860335194
70,"Arte Plus, Ampang Kuala Lumpur",538000,AMPANG,Apartments,786,2,2,Low,684.4783715012722
71,"[SPACIOUS LUXURY CONDO] Rimbun Embassy Row, Ampang Hilir - 4412sqft",5603240,AMPANG,Apartments,4412,5,6,Low,1270.0
72,Madge Mansions Condominium Taman U-Thant KL with Private Lift Lobby,10500000,AMPANG,Apartments,7825,5,5,Medium,1341.85303514377
73,"[FULLY FURNISHED] Rimbun Embassy Row, Ampang Hilir, KL -3551sqft",6500000,AMPANG,Apartments,3551,4,5,Low,1830.4702900591383
74,"Rimbun Luxury Triplex Penthouse, Ampang Hilir, KL [Spacious Unit]",25000000,AMPANG,Apartments,17000,8,10,High,1470.5882352941176
75,[FULLY FURNISHED] Duplex Condominium TARA33 Ampang Hilir,3250000,AMPANG,Apartments,4715,6,6,Low,689.2895015906681
76,"[SPACIOUS UNIT] Rimbun Embassy Row, Ampang Hilir, KL - 4412sqft",7500000,AMPANG,Apartments,4412,5,6,Low,1699.909338168631
77,Metro Villa Ground Floor Apartment for Sale,298000,AMPANG,Apartments,960,3,2,Low,310.4166666666667
78,"RENOVATED, 1089sqft | Suria Jelatek Residence",530000,AMPANG,Apartments,1089,3,2,Low,486.6850321395776
79,CHEAPEAST | RENOVATED | Sri Angsana Hilir Condominium Ampang Hilir,298000,AMPANG,Apartments,1349,3,2,Low,220.90437361008154
80,"Suria Jelatek Residence , Ampang Hilir, BELOW MARKET PRICE, near LRT",395000,AMPANG,Apartments,908,3,2,Low,435.0220264317181
81,[below market 50k]liberty arc brand new condo high rental yield kl,279000,AMPANG,Apartments,452,1,1,Low,617.2566371681415
82,"(Full Loan) One Ampang Avenue Eastside, 1280sf with Balcony",450000,AMPANG,Apartments,1280,3,2,Low,351.5625
83,"M city Ampang, Jalan Ampang Hilir, 2ROOM, Nice fully furnished",900000,AMPANG,Apartments,878,2,2,Low,1025.0569476082005
84,"M-City Jalan Ampang, KL",380000,AMPANG,Apartments,678,1,1,Low,560.47197640118
85,Below Market 37% | Astoria Ampang 747sf,441000,AMPANG,Apartments,747,3,2,Low,590.3614457831326
86,[BELOW MARKET] RIVERRA AMPANG KL CHERAS GROUND FLOOR + Corner Unit,323000,AMPANG,Apartments,958,3,2,Low,337.160751565762
87,Below Market 29% | Duplex M City Jalan Ampang 1018sf Freehold,534000,AMPANG,Apartments,1018,2,2,Low,524.5579567779961
88,Suria Jelatek Residece UNTUK Jual Fully Renovation Below Market 20%,490000,AMPANG,Apartments,1098,3,2,Low,446.26593806921676
89,M City Jalan Ampang Lake View [BELOW MARKET VALUE],560000,AMPANG,Apartments,781,1,1,Low,717.0294494238157
90,"Spring Ville Apartment, Ukay Perdana, Ampang, Gd Condition",218000,AMPANG,Apartments,728,3,2,Low,299.45054945054943
91,Ampang Apartment Permai Puteri NEGOTIABLE+BELOW MV+NEAR LRT,275000,AMPANG,Apartments,833,3,2,Low,330.13205282112847
92,The Elements Ampang For Sale Below Market Value Genting View,680000,AMPANG,Apartments,1065,2,2,Low,638.4976525821596
93,The Elements Ampang For Sale Below Market Value 100% Full Loan,430000,AMPANG,Apartments,705,1,1,Low,609.9290780141844
94,Sale Axis residence axis Pandan condo 3r 2b near Lrt Pandan Indah,430000,AMPANG,Apartments,1000,3,2,Low,430.0
95,The Elements Ampang For Sale Below Market Value,740000,AMPANG,Apartments,1570,4,3,Low,471.3375796178344
