Title,Price,Area,Category,Size,Bedrooms,Bathrooms
Tiara Duta Condo 3R2B Taman Dangan Jaya Ampang,380000,AMPANG,Apartments,957 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Pandan Cahaya Metro Villa Apartment corner unit for sale,298000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
Pandan Utama Apartment For Offer Price,330000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
Pandan Utama Apartment For Exclusive Offer Price GRAB IT,350000,AMPANG,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
"Suria Jelatek Residence , Ampang Hilir, BELOW MARKET PRICE, near LRT",399000,AMPANG,Apartments,908 sq.ft.,3 Bedrooms,2 Bathrooms
[FULL LOAN] The Element 705sf Ampang Hilir KL City [BELOW MARKET],400000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
M-Suites Jalan Ampang,695000,AMPANG,Apartments,608 sq.ft.,1 Bedroom,1 Bathroom
Tiara Duta Condo 3R2B Taman Dangan Jaya Ampang,368000,AMPANG,Apartments,957 sq.ft.,3 Bedrooms,2 Bathrooms
"Taman lembah maju 600 apartment, ampang",280000,AMPANG,Apartments,926 sq.ft.,3 Bedrooms,2 Bathrooms
"[AFFORDABLE] Suria Jelatek Residence, Ampang hilir",530000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang - Suria Jelatek Residence - 1420sf - Near LRT - matured area,600000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
"Apartment Bunga Raya Pandan Indah, Ampang, Kuala Lumpur",270000,AMPANG,Apartments,667 sq.ft.,3 Bedrooms,1 Bathroom
"Menara Polo at Ampang Hilir, Kampung Pandan Indah Desa near KLCC",533000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated 1089sqft Suria Jelatek Condominium Ampang Hilir,525000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
M City Fully Furnished Jalan Ampang KLCC Ampang Kuala Lumpur,710000,AMPANG,Apartments,853 sq.ft.,1 Bedroom,1 Bathroom
"The ElementsAmpang, Kuala Lumpur, Fully Furnished",900000,AMPANG,Apartments,1572 sq.ft.,4 Bedrooms,3 Bathrooms
Sri Ampang Hilir Condominium,400000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,3 Bathrooms
Below Market 30% | Astoria Ampang 747sf,490000,AMPANG,Apartments,747 sq.ft.,2 Bedrooms,2 Bathrooms
"Impiana Condominium, Jalan Ampang Ulu, Kampung Berembang, 1865sqft",700000,AMPANG,Apartments,1865 sq.ft.,5 Bedrooms,4 Bathrooms
[STUDIO] Arte Plus Jalan Ampang KL,590000,AMPANG,Apartments,622 sq.ft.,1 Bedroom,1 Bathroom
"[FREEHOLD & LEVEL 3] RENOVATED 202 DC Desa Cahaya, Jalan Ampang KL",1000000,AMPANG,Apartments,1860 sq.ft.,4 Bedrooms,3 Bathrooms
Ampang Boulevard Non-Bumi unit Fully Furnished Near to Ampang park,480000,AMPANG,Apartments,1117 sq.ft.,3 Bedrooms,2 Bathrooms
"M Suites 3-bedroom Fully Furnished, Jalan Ampang",1500000,AMPANG,Apartments,1529 sq.ft.,3 Bedrooms,2 Bathrooms
"202 DESA CAHAYA, Jalan Ampang – Nearby KLCC – Freehold",1250000,AMPANG,Apartments,1690 sq.ft.,3 Bedrooms,3 Bathrooms
[FOR SALE]THE ELEMENTS JALAN AMPANG|studio|freehold|1 carpark,350000,AMPANG,Apartments,520 sq.ft.,1 Bedroom,1 Bathroom
WOW HOT! MURAH Menara Polo Desa Pandan Ampang Hilir KL Jom View,475000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
"Menara Polo Ampang Block H2 Condo For Sales Property : Build Up: 1,485",450000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
"RENOVATED Kojaya Condominium Ampang, KL",395000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Condominium Apartment 1421 SF 3r2b at Suria Jelatek Residence,441000,AMPANG,Apartments,1451 sq.ft.,3 Bedrooms,2 Bathrooms
The Element Residence [FREEHOLD 705Sqft] Jalan Bemban Ampang Hilir,433000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
[EXCLUSIVE] Dedaun Luxury Duplex Penthouse Taman U-Thant KL,5900000,AMPANG,Apartments,7128 sq.ft.,5 Bedrooms,6 Bathrooms
"M Suites, Ampang Hilir",760000,AMPANG,Apartments,988 sq.ft.,2 Bedrooms,2 Bathrooms
Walking distance to lrt jelatek & lrt dato keramat,620000,AMPANG,Apartments,1421 sq.ft.,3 Bedrooms,2 Bathrooms
[BALCONY VIEWS KLCC] SRI AMPANG HILIR CONDOMINIUM K.LUMPURr,430000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Putra Residency,440000,AMPANG,Apartments,1234 sq.ft.,3 Bedrooms,2 Bathrooms
"公寓出售！Pangsapuri Seri Nilam for sale, Ampang",150000,AMPANG,Apartments,650 sq.ft.,3 Bedrooms,2 Bathrooms
[BIG 1344 sqft] KLCC view Sri Pinang Villa Taman Nirwana,385000,AMPANG,Apartments,1344 sq.ft.,3 Bedrooms,2 Bathrooms
"Arte plus ampang condominium , kl",570000,AMPANG,Apartments,630 sq.ft.,1 Bedroom,1 Bathroom
Paling Murah Menara Polo Ampang Hilir for Sale Big Unit 1485 SQFT,490000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
"Fully Furnished Condominum M Suites, Jalan Ampang Kuala Lumpur",575000,AMPANG,Apartments,502 sq.ft.,1 Bedroom,1 Bathroom
Sri ampang hilir condominium,400000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
[limited unit]1 person 1 unit 3km KLCC monthly installment 800,208888,AMPANG,Apartments,300 sq.ft.,1 Bedroom,1 Bathroom
M suite Residence For Sale,760000,AMPANG,Apartments,988 sq.ft.,2 Bedrooms,2 Bathrooms
Doorstep to LRT station Prime Area KLCC High Rental Demand SOHO 0%D/P,208888,AMPANG,Apartments,300 sq.ft.,1 Bedroom,1 Bathroom
WALKING DISTANCE TO LRT! Condominium Suria Jelatek,524000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
"Spring Ville Apartment, Ukay Perdana, Ampang",300000,AMPANG,Apartments,736 sq.ft.,3 Bedrooms,2 Bathrooms
"Oakleaf Park Condominium, Bukit Antarabangsa, Ampang",300000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Tiara Duta Ampang Corner Unit,428000,AMPANG,Apartments,1033 sq.ft.,3 Bedrooms,2 Bathrooms
The cheapest new smart home condo at ampang jelatek klcc,230000,AMPANG,Apartments,280 sq.ft.,1 Bedroom,1 Bathroom
Ampang -Jalan ampang M suites ( Near LRT Jelatek ) Bellow Market,735000,AMPANG,Apartments,1030 sq.ft.,2 Bedrooms,2 Bathrooms
